run,family,transformation_id,secret_type,rule_id,samples_detected_by_rule
betterleaks/decode,composition,T7.1,jwt,jwt,1
betterleaks/decode,composition,T7.1,jwt,jwt-base64,7
betterleaks/decode,composition,T7.1,slack_bot_token,slack-bot-token,1
betterleaks/decode,composition,T7.1,stripe_secret_key,stripe-access-token,4
betterleaks/decode,contextual,T6.1,aws_access_key_id,aws-access-token,90
betterleaks/decode,contextual,T6.1,aws_keypair,aws-access-token,90
betterleaks/decode,contextual,T6.1,github_pat,github-pat,90
betterleaks/decode,contextual,T6.1,google_api_key,gcp-api-key,90
betterleaks/decode,contextual,T6.1,jwt,jwt,90
betterleaks/decode,contextual,T6.1,slack_bot_token,slack-bot-token,90
betterleaks/decode,contextual,T6.1,stripe_secret_key,stripe-access-token,90
betterleaks/decode,contextual,T6.4,aws_access_key_id,aws-access-token,90
betterleaks/decode,contextual,T6.4,aws_keypair,aws-access-token,90
betterleaks/decode,contextual,T6.4,github_pat,github-pat,90
betterleaks/decode,contextual,T6.4,google_api_key,gcp-api-key,90
betterleaks/decode,contextual,T6.4,jwt,jwt,90
betterleaks/decode,contextual,T6.4,slack_bot_token,slack-bot-token,90
betterleaks/decode,contextual,T6.4,stripe_secret_key,stripe-access-token,90
betterleaks/decode,control,T0.0,aws_access_key_id,aws-access-token,90
betterleaks/decode,control,T0.0,aws_keypair,aws-access-token,90
betterleaks/decode,control,T0.0,aws_keypair,generic-api-key,88
betterleaks/decode,control,T0.0,aws_secret_access_key,generic-api-key,85
betterleaks/decode,control,T0.0,generic_hex_token,generic-api-key,86
betterleaks/decode,control,T0.0,github_pat,github-pat,90
betterleaks/decode,control,T0.0,google_api_key,gcp-api-key,90
betterleaks/decode,control,T0.0,jwt,jwt,90
betterleaks/decode,control,T0.0,slack_bot_token,slack-bot-token,90
betterleaks/decode,control,T0.0,stripe_secret_key,stripe-access-token,90
betterleaks/decode,encoding,T1.1,aws_access_key_id,aws-access-token,82
betterleaks/decode,encoding,T1.1,aws_keypair,aws-access-token,85
betterleaks/decode,encoding,T1.1,aws_keypair,generic-api-key,90
betterleaks/decode,encoding,T1.1,aws_secret_access_key,generic-api-key,90
betterleaks/decode,encoding,T1.1,generic_hex_token,generic-api-key,90
betterleaks/decode,encoding,T1.1,github_pat,github-pat,90
betterleaks/decode,encoding,T1.1,google_api_key,gcp-api-key,90
betterleaks/decode,encoding,T1.1,google_api_key,generic-api-key,90
betterleaks/decode,encoding,T1.1,jwt,jwt,90
betterleaks/decode,encoding,T1.1,jwt,jwt-base64,90
betterleaks/decode,encoding,T1.1,slack_bot_token,generic-api-key,88
betterleaks/decode,encoding,T1.1,slack_bot_token,slack-bot-token,90
betterleaks/decode,encoding,T1.1,stripe_secret_key,generic-api-key,90
betterleaks/decode,encoding,T1.1,stripe_secret_key,stripe-access-token,90
betterleaks/decode,encoding,T1.2,aws_keypair,generic-api-key,85
betterleaks/decode,encoding,T1.2,aws_secret_access_key,generic-api-key,88
betterleaks/decode,encoding,T1.2,generic_hex_token,generic-api-key,88
betterleaks/decode,encoding,T1.2,google_api_key,generic-api-key,90
betterleaks/decode,encoding,T1.2,slack_bot_token,generic-api-key,88
betterleaks/decode,encoding,T1.2,stripe_secret_key,generic-api-key,88
betterleaks/decode,encoding,T1.3,aws_secret_access_key,generic-api-key,1
betterleaks/decode,encoding,T1.3,generic_hex_token,generic-api-key,2
betterleaks/decode,encoding,T1.3,slack_bot_token,generic-api-key,4
betterleaks/decode,encoding,T1.4,aws_access_key_id,aws-access-token,90
