run,transformation_id,family,n_seeds,mean,sd,min,max
betterleaks/decode,T0.0,control,5,1.0000,0.0000,1.0000,1.0000
betterleaks/decode,T1.1,encoding,5,0.9899,0.0056,0.9802,0.9938
betterleaks/decode,T1.2,encoding,5,0.6543,0.0033,0.6494,0.6580
betterleaks/decode,T1.3,encoding,5,0.0067,0.0028,0.0037,0.0088
betterleaks/decode,T1.4,encoding,5,0.9980,0.0023,0.9950,1.0000
betterleaks/decode,T1.5,encoding,5,0.9975,0.0025,0.9938,1.0000
betterleaks/decode,T1.6,encoding,5,0.6525,0.0046,0.6468,0.6592
betterleaks/decode,T1.7,encoding,5,0.6464,0.0043,0.6415,0.6529
betterleaks/decode,T2.1,multi_encoding,5,0.9884,0.0053,0.9815,0.9938
betterleaks/decode,T2.2,multi_encoding,5,0.9891,0.0046,0.9827,0.9938
betterleaks/decode,T2.3,multi_encoding,5,0.9901,0.0025,0.9877,0.9938
betterleaks/decode,T3.1,splitting,5,0.1409,0.0177,0.1163,0.1622
betterleaks/decode,T3.2,splitting,5,0.0252,0.0099,0.0111,0.0333
betterleaks/decode,T3.3,splitting,5,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T3.4,splitting,5,0.0222,0.0087,0.0111,0.0296
betterleaks/decode,T3.5,splitting,5,0.0170,0.0124,0.0037,0.0333
betterleaks/decode,T4.3,char_format,5,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T4.5,char_format,5,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T5.1,indirection,5,0.6545,0.0066,0.6467,0.6630
betterleaks/decode,T5.2,indirection,5,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T6.1,contextual,5,0.7778,0.0000,0.7778,0.7778
betterleaks/decode,T6.4,contextual,5,0.7778,0.0000,0.7778,0.7778
betterleaks/decode,T7.1,composition,5,0.0600,0.0152,0.0444,0.0778
betterleaks/decode,T7.2,composition,5,0.0000,0.0000,0.0000,0.0000
betterleaks/default,T0.0,control,5,1.0000,0.0000,1.0000,1.0000
betterleaks/default,T1.1,encoding,5,0.7711,0.0024,0.7679,0.7741
betterleaks/default,T1.2,encoding,5,0.6543,0.0033,0.6494,0.6580
betterleaks/default,T1.3,encoding,5,0.0067,0.0028,0.0037,0.0088
betterleaks/default,T1.4,encoding,5,0.0674,0.0055,0.0583,0.0715
betterleaks/default,T1.5,encoding,5,0.9185,0.0061,0.9111,0.9280
betterleaks/default,T1.6,encoding,5,0.6525,0.0046,0.6468,0.6592
betterleaks/default,T1.7,encoding,5,0.6464,0.0043,0.6415,0.6529
betterleaks/default,T2.1,multi_encoding,5,0.6485,0.0079,0.6382,0.6592
betterleaks/default,T2.2,multi_encoding,5,0.6506,0.0044,0.6432,0.6543
betterleaks/default,T2.3,multi_encoding,5,0.0373,0.0091,0.0275,0.0489
betterleaks/default,T3.1,splitting,5,0.1409,0.0177,0.1163,0.1622
betterleaks/default,T3.2,splitting,5,0.0252,0.0099,0.0111,0.0333
betterleaks/default,T3.3,splitting,5,0.0000,0.0000,0.0000,0.0000
betterleaks/default,T3.4,splitting,5,0.0222,0.0087,0.0111,0.0296
betterleaks/default,T3.5,splitting,5,0.0170,0.0124,0.0037,0.0333
betterleaks/default,T4.3,char_format,5,0.0000,0.0000,0.0000,0.0000
betterleaks/default,T4.5,char_format,5,0.0000,0.0000,0.0000,0.0000
betterleaks/default,T5.1,indirection,5,0.6545,0.0066,0.6467,0.6630
