run,family,n_seeds,mean,sd,min,max
betterleaks/decode,char_format,5,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,composition,5,0.0300,0.0076,0.0222,0.0389
betterleaks/decode,contextual,5,0.7778,0.0000,0.7778,0.7778
betterleaks/decode,control,5,1.0000,0.0000,1.0000,1.0000
betterleaks/decode,encoding,5,0.7096,0.0022,0.7073,0.7125
betterleaks/decode,indirection,5,0.3280,0.0041,0.3234,0.3334
betterleaks/decode,multi_encoding,5,0.9892,0.0013,0.9881,0.9914
betterleaks/decode,splitting,5,0.0411,0.0043,0.0372,0.0480
betterleaks/default,char_format,5,0.0000,0.0000,0.0000,0.0000
betterleaks/default,composition,5,0.0204,0.0074,0.0130,0.0278
betterleaks/default,contextual,5,0.7778,0.0000,0.7778,0.7778
betterleaks/default,control,5,1.0000,0.0000,1.0000,1.0000
betterleaks/default,encoding,5,0.5331,0.0015,0.5316,0.5352
betterleaks/default,indirection,5,0.3280,0.0041,0.3234,0.3334
betterleaks/default,multi_encoding,5,0.4471,0.0074,0.4379,0.4543
betterleaks/default,splitting,5,0.0411,0.0043,0.0372,0.0480
detect-secrets/default,char_format,5,0.3293,0.0011,0.3278,0.3306
detect-secrets/default,composition,5,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,contextual,5,0.9485,0.0037,0.9434,0.9531
detect-secrets/default,control,5,1.0000,0.0000,1.0000,1.0000
detect-secrets/default,encoding,5,0.7776,0.0024,0.7752,0.7811
detect-secrets/default,indirection,5,0.3884,0.0036,0.3825,0.3911
detect-secrets/default,multi_encoding,5,0.8881,0.0006,0.8872,0.8889
detect-secrets/default,splitting,5,0.1573,0.0056,0.1486,0.1638
gitleaks/decode,char_format,5,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,composition,5,0.0300,0.0076,0.0222,0.0389
gitleaks/decode,contextual,5,0.7778,0.0000,0.7778,0.7778
gitleaks/decode,control,5,1.0000,0.0000,1.0000,1.0000
gitleaks/decode,encoding,5,0.7133,0.0027,0.7103,0.7173
gitleaks/decode,indirection,5,0.3286,0.0036,0.3252,0.3334
gitleaks/decode,multi_encoding,5,0.9892,0.0013,0.9881,0.9914
gitleaks/decode,splitting,5,0.0412,0.0041,0.0380,0.0480
gitleaks/default,char_format,5,0.0000,0.0000,0.0000,0.0000
gitleaks/default,composition,5,0.0204,0.0074,0.0130,0.0278
gitleaks/default,contextual,5,0.7778,0.0000,0.7778,0.7778
gitleaks/default,control,5,1.0000,0.0000,1.0000,1.0000
gitleaks/default,encoding,5,0.5368,0.0019,0.5351,0.5391
gitleaks/default,indirection,5,0.3286,0.0036,0.3252,0.3334
gitleaks/default,multi_encoding,5,0.4496,0.0064,0.4417,0.4576
gitleaks/default,splitting,5,0.0412,0.0041,0.0380,0.0480
trufflehog/default,char_format,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,composition,5,0.0100,0.0063,0.0042,0.0208
trufflehog/default,contextual,5,0.9983,0.0018,0.9958,1.0000
trufflehog/default,control,5,1.0000,0.0000,1.0000,1.0000
trufflehog/default,encoding,5,0.3102,0.0009,0.3091,0.3112
trufflehog/default,indirection,5,0.0000,0.0000,0.0000,0.0000
trufflehog/default,multi_encoding,5,0.6678,0.0024,0.6657,0.6705
trufflehog/default,splitting,5,0.0259,0.0090,0.0152,0.0354
