run,variant,n_seeds,mean,sd,min,max
betterleaks/decode,sample_weighted,5,0.5998,0.0010,0.5987,0.6010
betterleaks/decode,sample_weighted_excl_contextual,5,0.5750,0.0011,0.5737,0.5764
betterleaks/decode,unweighted,5,0.4108,0.0009,0.4099,0.4119
betterleaks/decode,unweighted_excl_contextual,5,0.3497,0.0011,0.3486,0.3510
betterleaks/default,sample_weighted,5,0.4243,0.0020,0.4221,0.4271
betterleaks/default,sample_weighted_excl_contextual,5,0.3749,0.0023,0.3725,0.3782
betterleaks/default,unweighted,5,0.3068,0.0013,0.3056,0.3088
betterleaks/default,unweighted_excl_contextual,5,0.2283,0.0015,0.2269,0.2306
detect-secrets/default,sample_weighted,5,0.6713,0.0015,0.6695,0.6734
detect-secrets/default,sample_weighted_excl_contextual,5,0.6326,0.0018,0.6305,0.6352
detect-secrets/default,unweighted,5,0.4985,0.0012,0.4973,0.4999
detect-secrets/default,unweighted_excl_contextual,5,0.4234,0.0012,0.4221,0.4254
gitleaks/decode,sample_weighted,5,0.6015,0.0011,0.6004,0.6027
gitleaks/decode,sample_weighted_excl_contextual,5,0.5769,0.0012,0.5757,0.5783
gitleaks/decode,unweighted,5,0.4115,0.0007,0.4108,0.4124
gitleaks/decode,unweighted_excl_contextual,5,0.3504,0.0009,0.3496,0.3515
gitleaks/default,sample_weighted,5,0.4263,0.0021,0.4243,0.4291
gitleaks/default,sample_weighted_excl_contextual,5,0.3773,0.0024,0.3749,0.3805
gitleaks/default,unweighted,5,0.3078,0.0012,0.3067,0.3098
gitleaks/default,unweighted_excl_contextual,5,0.2295,0.0014,0.2282,0.2318
trufflehog/default,sample_weighted,5,0.3809,0.0014,0.3791,0.3828
trufflehog/default,sample_weighted_excl_contextual,5,0.2948,0.0015,0.2925,0.2967
trufflehog/default,unweighted,5,0.2875,0.0015,0.2855,0.2893
trufflehog/default,unweighted_excl_contextual,5,0.1690,0.0017,0.1664,0.1709
